scene_name,gt_instance_id,gt_class,gt_point_count,baseline_best_iou,original_best_purity,original_pure_point_fraction,original_has_pure_segment,ibsp_best_purity,ibsp_pure_point_fraction,ibsp_has_pure_segment,pure_ibsp_segment_count,has_pure_reliable_ibsp,has_pure_sampled_ibsp,sam2_best_iou
scene0084_02,131029,jacket,449,0.9220489977728286,1.0,1.0,True,1.0,0.39198218262806234,True,2,True,False,0.10684931506849316
scene0084_02,161045,doorframe,341,0.8721227621483376,1.0,1.0,True,1.0,0.4398826979472141,True,1,False,False,0.09696969696969697
scene0084_02,170002,shower curtain rod,304,0.8026315789473685,1.0,1.0,True,1.0,0.9868421052631579,True,4,False,False,0.0007966540529774945
scene0084_02,208012,toilet seat cover dispenser,583,0.8216123499142367,1.0,1.0,True,0.8571428571428571,0.49914236706689535,True,2,False,False,0.0
scene0084_02,1156010,bathroom counter,1808,0.662999633296663,1.0,1.0,True,1.0,0.7372787610619469,True,8,True,False,0.3651776980762961
scene0084_02,1163028,object,167,0.0,1.0,1.0,True,0.9529411764705882,0.9520958083832335,True,2,True,True,0.006153846153846154
scene0084_02,1163037,object,156,0.0,1.0,1.0,True,0.9285714285714286,1.0,True,1,False,False,0.0
scene0084_02,1179011,shower head,625,0.6912,1.0,1.0,True,1.0,0.648,True,4,False,False,0.0
scene0100_00,5017,door,1549,0.6481171548117155,1.0,1.0,True,1.0,0.07811491284699806,True,3,False,False,0.0
scene0100_00,14003,sink,781,1.0,1.0,1.0,True,1.0,0.8796414852752881,True,9,True,True,0.21788413098236775
scene0100_00,16024,window,501,1.0,1.0,1.0,True,1.0,0.8782435129740519,True,3,True,False,0.0
scene0100_00,17008,toilet,1776,0.9839335180055402,1.0,1.0,True,1.0,0.9949324324324325,True,6,True,False,0.345313258863526
scene0100_00,31007,towel,2559,0.8070044709388972,1.0,1.0,True,1.0,0.9988276670574443,True,8,False,False,0.0
scene0100_00,31011,towel,1783,0.8673521850899742,1.0,1.0,True,1.0,0.8962422882781829,True,10,True,False,0.07987048030221262
scene0100_00,31028,towel,963,0.5599730458221024,1.0,1.0,True,1.0,0.9636552440290758,True,2,False,False,0.0
scene0100_00,31030,towel,457,0.3380177514792899,1.0,1.0,True,1.0,0.8205689277899344,True,3,False,False,0.0
scene0100_00,42010,bathtub,2278,0.8028463792381749,1.0,1.0,True,1.0,0.985513608428446,True,9,True,True,0.6941522928060581
scene0100_00,49015,toilet paper,320,1.0,1.0,1.0,True,1.0,0.99375,True,3,True,False,0.0
scene0100_00,56013,trash can,440,0.8318181818181818,1.0,1.0,True,1.0,0.9931818181818182,True,3,True,True,0.7545454545454545
scene0100_00,71021,mirror,268,0.8322981366459627,1.0,1.0,True,0.9333333333333333,0.8059701492537313,True,3,True,False,0.0
scene0100_00,128002,shower wall,3961,0.9267664950865699,1.0,1.0,True,1.0,0.48371623327442564,True,7,False,False,0.0007010164738871364
scene0100_00,130020,cup,239,0.31629392971246006,1.0,1.0,True,1.0,0.8744769874476988,True,3,True,True,0.000791765637371338
scene0100_00,188027,shower door,1613,0.5689969604863222,1.0,1.0,True,1.0,0.9857408555486671,True,5,False,False,0.0017878426698450535
scene0100_00,1163018,object,199,1.0,1.0,1.0,True,0.945,0.949748743718593,True,1,True,False,0.42340425531914894
scene0100_00,1173005,bathroom cabinet,7745,0.9111083864639529,1.0,1.0,True,1.0,0.9874757908327954,True,29,True,True,0.2778909831889964
scene0146_01,5012,door,207,0.5170278637770898,1.0,1.0,True,0.8760330578512396,0.5120772946859904,True,1,False,False,0.0
scene0146_01,14002,sink,1968,0.9832317073170732,1.0,1.0,True,1.0,0.9796747967479674,True,11,True,True,0.13109756097560976
scene0146_01,17005,toilet,2443,0.9595443833464258,1.0,1.0,True,1.0,0.9611133851821531,True,12,True,True,0.5908346972176759
scene0146_01,48013,backpack,1317,0.8940936863543788,1.0,1.0,True,1.0,0.9977220956719818,True,5,False,False,0.0
scene0146_01,49019,toilet paper,127,1.0,1.0,1.0,True,1.0,0.9921259842519685,True,2,False,False,0.00022624434389140272
scene0146_01,56001,trash can,4050,0.9529011896091284,1.0,1.0,True,1.0,0.994567901234568,True,21,True,True,0.7365244536940687
scene0146_01,71008,mirror,600,0.7585335018963337,1.0,1.0,True,1.0,0.7316666666666667,True,5,True,False,0.16067864271457086
scene0146_01,95004,rail,355,0.8919597989949749,1.0,1.0,True,0.8789237668161435,0.6028169014084507,True,2,True,True,0.5130890052356021
scene0146_01,95017,rail,639,0.8137715179968701,1.0,1.0,True,0.8687196110210696,0.838810641627543,True,1,True,False,0.12190129633841255
scene0146_01,100006,soap dispenser,269,1.0,1.0,1.0,True,1.0,0.9851301115241635,True,2,True,False,0.0
scene0146_01,1163016,object,670,0.7289473684210527,1.0,1.0,True,1.0,0.8940298507462686,True,5,True,False,0.0
scene0169_01,2002,chair,1082,0.8854337152209493,1.0,1.0,True,1.0,0.9731977818853974,True,7,True,False,0.0008064516129032258
scene0169_01,2003,chair,1808,0.9021017699115044,1.0,1.0,True,1.0,0.9977876106194691,True,14,False,False,0.0
scene0169_01,2004,chair,2226,0.8265114532482163,1.0,1.0,True,1.0,0.9878706199460916,True,20,False,False,0.0
scene0169_01,2005,chair,1460,0.9492847854356307,1.0,1.0,True,1.0,1.0,True,11,False,False,0.0
scene0169_01,2006,chair,2829,1.0,1.0,1.0,True,1.0,1.0,True,28,True,False,0.0
scene0169_01,2019,chair,1227,0.9831730769230769,1.0,1.0,True,1.0,0.8785656071719642,True,11,False,False,0.0
scene0169_01,2020,chair,2634,0.8579804560260587,1.0,1.0,True,1.0,0.9115413819286257,True,18,True,False,0.16818526955201216
scene0169_01,2026,chair,2172,0.9608655616942909,1.0,1.0,True,1.0,0.8568139963167587,True,16,True,False,0.0966183574879227
scene0169_01,2027,chair,3115,0.47006755182855814,1.0,1.0,True,1.0,0.9964686998394864,True,28,True,False,0.030869442084395356
scene0169_01,2028,chair,1871,0.664572864321608,1.0,1.0,True,1.0,0.7910208444681989,True,13,True,True,0.13423050379572118
scene0169_01,2029,chair,1342,0.6860940695296524,1.0,1.0,True,1.0,0.9910581222056631,True,8,True,False,0.5859689476710753
scene0169_01,2030,chair,771,0.5779610194902549,1.0,1.0,True,1.0,0.18417639429312582,True,3,True,False,0.0009153318077803204
scene0169_01,2031,chair,909,0.7667766776677668,1.0,1.0,True,1.0,0.37073707370737075,True,5,True,False,0.017142857142857144
scene0169_01,2032,chair,953,1.0,1.0,1.0,True,1.0,0.2539349422875131,True,2,True,False,0.057034220532319393
scene0169_01,2033,chair,1642,0.8919392523364486,1.0,1.0,True,1.0,0.9634591961023142,True,17,True,True,0.17904993909866018
scene0169_01,2034,chair,1276,0.9710806697108066,1.0,1.0,True,1.0,1.0,True,8,False,False,0.0
scene0169_01,2035,chair,1934,0.9273797841020608,1.0,1.0,True,1.0,0.9989658738366081,True,18,True,False,0.03781174577634755
scene0169_01,2036,chair,1775,1.0,1.0,1.0,True,1.0,0.9994366197183099,True,15,False,False,0.0
