scene_name,gt_instance_id,gt_class,gt_point_count,baseline_best_iou,sam2_best_iou,sam2_best_candidate_id,gt_superpoint_count,reliable_superpoint_count,sampled_seed_count,failure_stage
scene0430_00,52033,whiteboard,2857,0.3114115211301912,0.337336093857833,3,7,4,2,已采样但轨迹或三维提升未恢复
scene0430_00,609023,projector screen,5746,0.4169786749145369,0.9657152801949183,1,37,20,1,sam2_已覆盖
scene0458_00,26032,box,1184,0.02727272727272727,0.05636833046471601,4,19,11,2,已采样但轨迹或三维提升未恢复
scene0458_00,65029,bottle,131,0.2930648769574944,0.14301310043668122,1,1,1,0,有可靠超点但未采样
scene0458_00,65030,bottle,150,0.14149139579349904,0.16375545851528384,1,1,1,0,有可靠超点但未采样
scene0458_00,78004,shower,8946,0.22043371339145987,0.14154752810214996,3,82,49,15,已采样但轨迹或三维提升未恢复
scene0458_00,157010,soap dish,118,0.2639821029082774,0.12882096069868995,1,3,2,0,有可靠超点但未采样
scene0458_00,157012,soap dish,125,0.08538899430740038,0.10158730158730159,1,4,3,0,有可靠超点但未采样
scene0458_00,325016,broom,215,0.21739130434782608,0.0,-1,7,1,0,有可靠超点但未采样
scene0458_00,356017,dustpan,460,0.3807615230460922,0.0004311273981461522,9,11,3,2,已采样但轨迹或三维提升未恢复
scene0474_00,13039,pillow,816,0.4823434991974318,0.0,-1,6,0,0,无可靠超点
scene0474_00,46032,keyboard,221,0.10828025477707007,0.0,-1,3,0,0,无可靠超点
scene0474_00,64029,computer tower,1450,0.0,0.0,-1,15,0,0,无可靠超点
scene0474_00,570045,paper bag,463,0.05104831358249772,0.9125248508946322,1,11,8,2,sam2_已覆盖
scene0474_00,1170034,dumbbell,180,0.3082191780821918,0.0,-1,5,0,0,无可靠超点
scene0474_04,2012,chair,232,0.1341816078658184,0.06084867894315452,3,6,4,2,已采样但轨迹或三维提升未恢复
scene0474_04,13032,pillow,253,0.40043763676148797,0.0,-1,4,4,0,有可靠超点但未采样
scene0474_04,16022,window,2816,0.38920454545454547,0.0,-1,20,1,0,有可靠超点但未采样
scene0474_04,52037,whiteboard,986,0.08007976490344249,0.003371130861170702,2,15,5,2,已采样但轨迹或三维提升未恢复
scene0474_04,1188018,poster,5873,0.23156636110003986,0.0,-1,56,0,0,无可靠超点
scene0474_04,1188019,poster,3085,0.12326687177847924,0.0,-1,31,0,0,无可靠超点
scene0496_00,16026,window,2588,0.4225468577728776,0.0,-1,31,1,0,有可靠超点但未采样
scene0496_00,16027,window,1061,0.1157506908197728,0.9298245614035088,17,6,1,1,sam2_已覆盖
scene0496_00,16030,window,938,0.19869942196531792,0.0,-1,7,0,0,无可靠超点
scene0578_02,19015,monitor,470,0.0,0.5548996458087367,5,6,5,0,sam2_已覆盖
scene0591_01,19017,monitor,881,0.4101489757914339,0.24282982791587,13,10,3,0,有可靠超点但未采样
scene0593_01,7005,cabinet,7895,0.1008092485549133,0.2817094443060055,15,39,4,3,已采样但轨迹或三维提升未恢复
scene0593_01,180024,paper cutter,693,0.46998722860791825,0.0,-1,7,0,0,无可靠超点
scene0598_00,16021,window,17586,0.33384510406004775,0.0,-1,58,1,0,有可靠超点但未采样
scene0598_00,86002,blinds,16020,0.4140604807443784,0.0,-1,139,0,0,无可靠超点
scene0606_00,7019,cabinet,1129,0.3631200302915562,0.0,-1,10,0,0,无可靠超点
scene0606_00,13023,pillow,786,0.0726525017135024,0.0,-1,7,1,1,已采样但轨迹或三维提升未恢复
scene0606_00,27026,refrigerator,3171,0.4401303285365191,0.0,-1,23,0,0,无可靠超点
scene0606_00,132033,storage bin,515,0.2084176446782679,0.0,-1,6,0,0,无可靠超点
scene0606_00,185035,tray,677,0.017857142857142856,0.4741506646971935,7,8,8,2,已采样但轨迹或三维提升未恢复
scene0606_00,1163036,object,264,0.19924528301886793,0.9041095890410958,11,1,1,1,sam2_已覆盖
scene0606_01,13031,pillow,621,0.030225409836065573,0.0,-1,5,0,0,无可靠超点
scene0606_01,65021,bottle,147,0.4788273615635179,0.0,-1,4,0,0,无可靠超点
scene0606_01,185027,tray,602,0.24447513812154695,0.0,-1,10,1,1,已采样但轨迹或三维提升未恢复
scene0645_01,13041,pillow,431,0.09491301475445937,0.0,-1,2,0,0,无可靠超点
scene0645_01,13052,pillow,886,0.468040147913365,0.028702451255319852,1,4,3,2,已采样但轨迹或三维提升未恢复
scene0645_01,16045,window,3454,0.3273883100829949,0.2865412445730825,12,31,2,1,已采样但轨迹或三维提升未恢复
scene0645_01,56016,trash can,728,0.38682252922422955,0.0,-1,8,1,1,已采样但轨迹或三维提升未恢复
scene0645_01,71030,mirror,1353,0.39571428571428574,0.0,-1,16,0,0,无可靠超点
scene0645_01,97017,recycling bin,528,0.2165572942958102,0.0,-1,10,0,0,无可靠超点
scene0645_01,161061,doorframe,3593,0.035987182647276315,0.03241530587375092,1,24,2,1,已采样但轨迹或三维提升未恢复
scene0658_00,7009,cabinet,323,0.021544715447154472,0.0,-1,6,0,0,无可靠超点
scene0663_02,2008,chair,513,0.321880650994575,0.248,3,7,6,1,已采样但轨迹或三维提升未恢复
scene0663_02,52016,whiteboard,325,0.0,0.0,-1,3,0,0,无可靠超点
scene0664_02,8018,shelf,1005,0.24622271964185785,0.373134328358209,10,15,2,2,已采样但轨迹或三维提升未恢复
scene0664_02,31032,towel,388,0.4212812160694897,0.0,-1,1,0,0,无可靠超点
scene0664_02,31033,towel,434,0.47122692725298587,0.0,-1,1,0,0,无可靠超点
scene0686_02,125004,bathroom stall,8749,0.48183071008921446,0.20917746438542487,1,41,12,6,已采样但轨迹或三维提升未恢复
scene0693_02,157017,soap dish,110,0.0,0.689873417721519,4,3,3,3,sam2_已覆盖
scene0693_02,161013,doorframe,301,0.26995073891625615,0.001692047377326565,6,4,2,2,已采样但轨迹或三维提升未恢复
scene0697_03,16028,window,1146,0.12310667096358363,0.09899034240561896,10,7,6,1,已采样但轨迹或三维提升未恢复
scene0697_03,36004,dresser,3152,0.3674540682414698,0.29820452771272443,0,28,24,3,已采样但轨迹或三维提升未恢复
scene0697_03,57018,closet,5095,0.4852870236372407,0.0014309563558311473,7,27,1,0,有可靠超点但未采样
scene0697_03,69016,board,943,0.37275514673674986,0.7158218125960062,2,10,9,2,sam2_已覆盖
scene0697_03,86026,blinds,5311,0.09422947384177831,0.5619891008174387,10,21,5,2,sam2_已覆盖
scene0699_00,5019,door,793,0.032514658247570626,0.0006903353057199211,2,6,4,2,已采样但轨迹或三维提升未恢复
scene0699_00,47038,bag,490,0.0,0.0,-1,3,0,0,无可靠超点
scene0699_00,54009,blanket,6989,0.4803106315717133,0.8802386702656627,0,33,16,2,sam2_已覆盖
scene0699_00,54037,blanket,2012,0.42857142857142855,0.0,-1,13,1,1,已采样但轨迹或三维提升未恢复
scene0699_00,161006,doorframe,1236,0.2700865265760198,0.0,-1,10,1,1,已采样但轨迹或三维提升未恢复
scene0704_01,35009,counter,5613,0.42102482831484417,0.2304570319392977,12,58,43,3,已采样但轨迹或三维提升未恢复
